event_id,symbol,anchor_ts_ms,base_ms,entry_ms,fixed_boundary_ms,anchor_utc,liquidation_proxy_rows_0_240,liquidation_min_ts_ms,liquidation_max_ts_ms,event_symbol_kline_rows_expected_241,event_symbol_kline_min_ms,event_symbol_kline_max_ms,btc_kline_rows_expected_241,event_symbol_in_aggtrade_archive,event_symbol_in_bookticker_archive,finding_status
E:ZECUSDT:1780845457333,ZECUSDT,1780845457333,1780845480000,1780847340000,1780859880000,2026-06-07T15:17:37.333000+00:00,264,1780845481284,1780859893500,241,1780845480000,1780859880000,241,False,False,VERIFIED FROM CODE/DATA
E:BANKUSDT:1780855795565,BANKUSDT,1780855795565,1780855800000,1780857660000,1780870200000,2026-06-07T18:09:55.565000+00:00,96,1780855836323,1780870250379,241,1780855800000,1780870200000,241,False,False,VERIFIED FROM CODE/DATA
E:NEARUSDT:1780862453188,NEARUSDT,1780862453188,1780862460000,1780864320000,1780876860000,2026-06-07T20:00:53.188000+00:00,42,1780863487507,1780873545097,241,1780862460000,1780876860000,241,False,False,VERIFIED FROM CODE/DATA
E:VELVETUSDT:1781136529140,VELVETUSDT,1781136529140,1781136540000,1781138400000,1781150940000,2026-06-11T00:08:49.140000+00:00,1067,1781136546221,1781150973136,241,1781136540000,1781150940000,241,False,False,VERIFIED FROM CODE/DATA
E:VELVETUSDT:1781213436253,VELVETUSDT,1781213436253,1781213460000,1781215320000,1781227860000,2026-06-11T21:30:36.253000+00:00,1058,1781213471274,1781227918278,241,1781213460000,1781227860000,241,False,False,VERIFIED FROM CODE/DATA
E:VELVETUSDT:1781443683377,VELVETUSDT,1781443683377,1781443740000,1781445600000,1781458140000,2026-06-14T13:28:03.377000+00:00,453,1781443783417,1781458154185,241,1781443740000,1781458140000,241,False,False,VERIFIED FROM CODE/DATA
E:ZECUSDT:1781619444366,ZECUSDT,1781619444366,1781619480000,1781621340000,1781633880000,2026-06-16T14:17:24.366000+00:00,213,1781619480078,1781633151080,241,1781619480000,1781633880000,241,False,False,VERIFIED FROM CODE/DATA
E:SPCXUSDT:1781630527127,SPCXUSDT,1781630527127,1781630580000,1781632440000,1781644980000,2026-06-16T17:22:07.127000+00:00,354,1781630661803,1781644572785,241,1781630580000,1781644980000,241,False,False,VERIFIED FROM CODE/DATA
E:ESPORTSUSDT:1781753866102,ESPORTSUSDT,1781753866102,1781753880000,1781755740000,1781768280000,2026-06-18T03:37:46.102000+00:00,398,1781754208243,1781767632490,241,1781753880000,1781768280000,241,False,False,VERIFIED FROM CODE/DATA
E:XAGUSDT:1781809363726,XAGUSDT,1781809363726,1781809380000,1781811240000,1781823780000,2026-06-18T19:02:43.726000+00:00,33,1781809443869,1781823767608,241,1781809380000,1781823780000,241,False,False,VERIFIED FROM CODE/DATA
