event_id,symbol,anchor_ts_ms,liquidation_pressure,aggressive_buy_sell_notional,minute_signed_flow_imbalance,raw_trades,aggTrade_only_flow,midquote,spread,top_level_depth,multi_level_depth,OFI,MLOFI,exact_add_cancel_decomposition,displayed_depth_recovery,Flow_Surprise_feasibility,Impact_Surprise_feasibility,BTC_common_market_adjustment,tick_regime_conditioning,measurement_sensitivity_analysis,classification_basis
E:ZECUSDT:1780845457333,ZECUSDT,1780845457333,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:BANKUSDT:1780855795565,BANKUSDT,1780855795565,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:NEARUSDT:1780862453188,NEARUSDT,1780862453188,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:VELVETUSDT:1781136529140,VELVETUSDT,1781136529140,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:VELVETUSDT:1781213436253,VELVETUSDT,1781213436253,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:VELVETUSDT:1781443683377,VELVETUSDT,1781443683377,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:ZECUSDT:1781619444366,ZECUSDT,1781619444366,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:SPCXUSDT:1781630527127,SPCXUSDT,1781630527127,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:ESPORTSUSDT:1781753866102,ESPORTSUSDT,1781753866102,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
E:XAGUSDT:1781809363726,XAGUSDT,1781809363726,PROXY ONLY,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,UNSUPPORTED,NOT IDENTIFIABLE,UNSUPPORTED,PROXY ONLY,PROXY ONLY,VALID,NOT IDENTIFIABLE,PROXY ONLY,event-symbol forceOrder p*q proxy + exact 1m OHLCV/BTC are present; aggTrade and bookTicker archives contain only BTC/ETH/SOL
