database,table,ordinal,column,declared_type,not_null,default,primary_key_ordinal,finding_status
data/microstructure_02.db,agg_trades,0,id,INTEGER,0,,1,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,1,ts_ms,INTEGER,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,2,symbol,TEXT,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,3,price,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,4,quantity,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,5,notional,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,agg_trades,6,is_buyer_maker,INTEGER,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,0,id,INTEGER,0,,1,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,1,symbol,TEXT,1,'ETHUSDT',0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,2,basis_spike_start_ts_ms,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,3,reversion_ts_ms,INTEGER,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,4,entry_price,REAL,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,5,target_exit_ts_ms,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,6,status,TEXT,0,'pending',0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,7,exit_ts_ms,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,8,exit_price,REAL,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,9,long_return,REAL,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,10,long_win,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,11,created_at,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,basis_reversion_candidates,12,updated_at,INTEGER,0,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,0,id,INTEGER,0,,1,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,1,ts_ms,INTEGER,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,2,symbol,TEXT,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,3,bid_price,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,4,bid_qty,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,5,ask_price,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,6,ask_qty,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,7,mid_price,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,8,spread_pct,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,9,book_imbalance,REAL,1,,0,VERIFIED FROM CODE/DATA
data/microstructure_02.db,book_ticker,10,bid_depth_usd,REAL,0,,0,VERIFIED FROM CODE/DATA
